path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,dispatch_us_p50,compute_us_p50,combine_us_p50,acc_loss_pct
fi_split,ll,nixl_ep_expert_major,identity,no,none,bfloat16,bfloat16,64,8,384,6,7168,3072,98.4,93.8,118.5,5203252.0,42.3,2.6,36.4,nan
fi_split,ll,nixl_ep_expert_major,identity,no,none,bfloat16,bfloat16,512,8,384,6,7168,3072,258.6,253.0,564.6,15841584.0,151.6,2.6,96.8,nan
fi_split,ll,nccl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,8,8,384,6,7168,3072,851.3,823.3,1808.6,75176.7,56.2,622.6,43.4,23.160
fi_split,ll,nccl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,64,8,384,6,7168,3072,1613.3,1490.0,1832.5,317362.7,61.4,1302.0,94.7,23.142
fi_split,ll,nccl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,512,8,384,6,7168,3072,9480.9,9262.7,9684.0,432027.4,134.1,8744.6,470.3,23.162
fi_split,ll,nixl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,8,8,384,6,7168,3072,807.1,774.9,940.3,79292.7,41.8,625.7,37.5,23.160
fi_split,ll,nixl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,64,8,384,6,7168,3072,1678.5,1440.4,1773.2,305035.0,50.7,1300.9,80.3,23.142
fi_split,ll,nixl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,512,8,384,6,7168,3072,9506.8,9215.9,9803.4,430848.0,122.3,8743.2,558.3,23.162
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,8,8,384,6,7168,3072,926.1,900.9,2631.3,69103.7,58.1,758.2,53.7,20.566
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,64,8,384,6,7168,3072,2003.6,1975.6,2101.3,255536.0,63.0,1798.5,74.0,20.611
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,512,8,384,6,7168,3072,14063.7,13065.8,15069.8,291247.0,138.5,12848.8,1124.5,20.645
fi_split,ll,nixl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,8,8,384,6,7168,3072,871.3,855.4,1387.3,73452.4,40.9,756.8,45.5,20.566
fi_split,ll,nixl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,64,8,384,6,7168,3072,1981.6,1916.1,2407.9,258372.9,58.9,1767.7,89.3,20.611
fi_split,ll,nixl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,512,8,384,6,7168,3072,13937.1,13162.5,14786.3,293892.8,130.3,12674.7,1146.4,20.645
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl_packed,yes,mxfp4_block32,bfloat16,mxfp8_block32,8,8,384,6,7168,3072,1010.7,988.7,2370.5,63323.2,156.3,749.5,53.7,20.566
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl_packed,yes,mxfp4_block32,bfloat16,mxfp8_block32,64,8,384,6,7168,3072,2066.6,2050.3,3041.0,247747.1,170.1,1769.5,68.0,20.611
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl_packed,yes,mxfp4_block32,bfloat16,mxfp8_block32,512,8,384,6,7168,3072,14523.2,14033.2,15232.7,282030.6,209.5,13487.5,719.1,20.645
