Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.4,106668289,13144,8115.4,7456.0,1120,18720,2565.9,_save_partial_states_kernel
0.3,98954400,8568,11549.3,11520.0,10400,13024,222.0,nvjet_sm100_tss_128x64_64x10_2x2_2cta_h_bz_TNT
0.3,91838720,3844,23891.4,23776.0,22656,27936,603.2,nvjet_sm100_tss_128x256_64x6_2x2_2cta_h_bz_TNT
0.3,89818464,9632,9325.0,10176.0,1280,10848,2201.0,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::AbsFunctor<c10::BFloat16>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.3,85408192,14336,5957.6,6432.0,1824,8672,1217.1,"void per_token_group_quant_8bit_packed_register_kernel<c10::BFloat16, c10::Float8_e4m3fn, (int)128, (int)8, (int)2>(const T1 *, void *, unsigned int *, int, int, int, int, int, long, float, float, float)"
0.3,77103104,4704,16391.0,17696.0,1920,28512,4197.8,kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsfused_indexer_q_cutedslIndexerQFp8Kernel_object_at__tensorptri64gmemo1_tensorptrbf16gmemalign32o64128i64div16i64div161_tensorptrf32gmem_0
0.3,74974559,4452,16840.6,17728.0,1408,19776,2989.0,kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnCompressNormRopeStoreC4Kernel_object_at__tensorptrf32gmemalign16o2048i64div16i64div161_tensorptri_0
0.2,66527264,4028,16516.2,16640.0,13408,21760,1241.5,nvjet_sm100_tss_128x128_64x9_2x2_2cta_h_bz_TNT
0.2,66385056,4452,14911.3,16032.0,3552,18048,3081.3,"void deep_gemm::sm100_fp8_mqa_logits<(unsigned int)64, (unsigned int)128, (bool)0, (unsigned int)2, (unsigned int)256, (unsigned int)3, (unsigned int)3, (unsigned int)152, (unsigned int)128, (unsigned int)256, float, (unsigned int)2>(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int *, unsigned int *, T11 *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0.2,65763662,9632,6827.6,6944.0,1632,9568,1592.4,_fused_q_kv_rmsnorm_kernel
0.2,55618111,940,59168.2,72960.0,3296,291104,48692.1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.2,55376899,9332,5934.1,5984.0,1184,8224,1319.0,_combine_topk_swa_indices_kernel
0.2,53416895,28896,1848.6,1696.0,832,3008,396.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<int, int, int, at::native::BitwiseAndFunctor<int>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.2,53162656,9632,5519.4,5568.0,2016,6432,430.8,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
0.2,52613632,4536,11599.1,11968.0,6880,18528,1929.2,nvjet_sm100_tst_32x64_64x16_2x2_2cta_h_bz_TNN
0.2,50452417,8,6306552.1,6248272.0,5857440,6891424,472196.0,_topk_topp_kernel
0.2,50359392,13568,3711.6,3840.0,1824,4864,383.0,kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsdequant_gather_k_cutedslDequantGatherKCacheKernel_object_at__tensorptrbf16gmemalign32o512i64div16i64div161_tensorptri8gmemalign32o64576_0
0.2,46148352,9460,4878.3,5088.0,2880,6624,610.9,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vllm::packed_silu_kernel<__nv_bfloat162>, (bool)1, (bool)1, (bool)1, (bool)1>(T1 *, const T1 *, int, float, float, float)"
0.1,44469248,11332,3924.2,3168.0,896,47680,5777.4,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.1,38725696,692,55962.0,10480.0,1568,139552,54187.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<unsigned char>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.1,35599000,9632,3695.9,3808.0,1824,4736,424.7,"void per_token_group_quant_8bit_packed_register_kernel<c10::BFloat16, c10::Float8_e4m3fn, (int)128, (int)4, (int)4>(const T1 *, void *, unsigned int *, int, int, int, int, int, long, float, float, float)"
0.1,35100673,9632,3644.2,3648.0,2304,5152,153.8,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.1,34875168,4452,7833.6,8032.0,1280,15168,1470.9,_fused_kv_compress_norm_rope_insert_indexer_attn
