Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.3,134898337,256,526946.6,527088.0,525824,528352,1037.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<signed char>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.3,132184832,4452,29691.1,35712.0,1120,43968,9950.8,kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnCompressNormRopeStoreC4Kernel_object_at__tensorptrf32gmemalign16o2048i64div16i64div161_tensorptri_0
0.3,129486080,66096,1959.1,1952.0,832,39616,642.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.3,125736546,9564,13146.9,13760.0,6560,16032,1846.8,"void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, (unsigned int)128, (unsigned int)128, (unsigned int)0, (unsigned int)4096, (unsigned int)512, (unsigned int)128, (unsigned int)224, (unsigned int)128, (unsigned int)1, (unsigned int)128, (unsigned int)128, (unsigned int)64, (unsigned int)6, (unsigned int)128, (unsigned int)128, (unsigned int)2, (bool)0, (unsigned int)152, (bool)0, (deep_gemm::GemmType)0, (bool)0, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0.3,117114144,13144,8910.1,9248.0,1024,19328,2454.1,_save_partial_states_kernel
0.2,116189889,8960,12967.6,13184.0,4480,18848,2173.3,"void vllm::moe::topkGatingSoftplusSqrt<(int)8, (int)256, (int)4, (int)16, (int)32, (bool)0, long, float>(const T8 *, const bool *, float *, int, T7 *, int *, int, int, int, bool, double, const float *, const T7 *, const T7 *)"
0.2,115474590,22016,5245.0,5824.0,3424,8032,1032.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<unsigned char, unsigned char, unsigned char, at::native::rshift_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 1)]::operator ()() const::[lambda(unsigned char, unsigned char) (instance 1)]>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.2,114186593,4704,24274.4,30080.0,1920,33152,8327.4,kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsfused_indexer_q_cutedslIndexerQFp8Kernel_object_at__tensorptri64gmemo1_tensorptrbf16gmemalign32o64128i64div16i64div161_tensorptrf32gmem_0
0.2,113931788,9632,11828.5,12992.0,1536,13760,3036.5,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.2,107867966,22016,4899.5,5312.0,3552,7168,1132.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<unsigned char, unsigned char, unsigned char, at::native::BitwiseAndFunctor<unsigned char>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.2,103835200,8568,12119.0,12096.0,10656,14368,348.4,nvjet_sm100_tss_128x64_64x10_2x2_2cta_h_bz_TNT
0.2,96176640,3844,25019.9,24800.0,23072,30848,977.4,nvjet_sm100_tss_128x256_64x6_2x2_2cta_h_bz_TNT
0.2,92433200,14336,6447.6,6624.0,1856,11488,1470.8,"void per_token_group_quant_8bit_packed_register_kernel<c10::BFloat16, c10::Float8_e4m3fn, (int)128, (int)8, (int)2>(const T1 *, void *, unsigned int *, int, int, int, int, int, long, float, float, float)"
0.2,80950816,44040,1838.1,1920.0,1152,3840,251.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,69678047,4452,15651.0,18688.0,1056,27360,5831.4,_fused_kv_compress_norm_rope_insert_indexer_attn
0.1,68558526,4028,17020.5,17024.0,13248,21376,1529.8,nvjet_sm100_tss_128x128_64x9_2x2_2cta_h_bz_TNT
0.1,67093089,4452,15070.3,16032.0,3776,19872,2969.0,"void deep_gemm::sm100_fp8_mqa_logits<(unsigned int)64, (unsigned int)128, (bool)0, (unsigned int)2, (unsigned int)256, (unsigned int)3, (unsigned int)3, (unsigned int)152, (unsigned int)128, (unsigned int)256, float, (unsigned int)2>(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int *, unsigned int *, T11 *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0.1,66455822,9632,6899.5,7200.0,1760,9472,1558.6,_fused_q_kv_rmsnorm_kernel
0.1,64838592,23372,2774.2,2816.0,928,3904,311.5,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.1,60732992,9632,6305.3,6752.0,1856,7680,1259.0,kernel_cutlass_nvfp4_quant_and_process_impl_srcinputs_processDataPreprocess_object_at__tensorptrbf16gmemalign16oi641_tensorptri64gmemalign4oi641_tensorptrf32gmemoi641_None_tensorptrf4E2M1_0
0.1,55786580,1980,28175.0,18304.0,608,70816,31210.1,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.1,55045152,4536,12135.2,13248.0,6912,19520,2626.0,nvjet_sm100_tst_32x64_64x16_2x2_2cta_h_bz_TNN
0.1,51630817,60,860513.6,16848.0,2368,10500832,2189901.0,"void barrier_on_stream_kernel_threadgroup<(threadgroup_t)1>(int, int)"
0.1,50636928,8,6329616.0,6333968.0,5799648,6833216,432344.0,_topk_topp_kernel
0.1,49778048,13568,3668.8,3840.0,1824,5760,390.6,kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopsdequant_gather_k_cutedslDequantGatherKCacheKernel_object_at__tensorptrbf16gmemalign32o512i64div16i64div161_tensorptri8gmemalign32o64576_0
0.1,48793088,22016,2216.3,2272.0,1760,4480,376.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool, float, float) (instance 1)], std::array<char *, (unsigned long)4>>(int, T2, T3)"
0.1,48212128,9332,5166.3,5632.0,1184,7904,1242.0,_combine_topk_swa_indices_kernel
0.1,47917055,22016,2176.5,2272.0,1920,3584,194.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::float8_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,47095191,9460,4978.4,5216.0,2912,5632,659.0,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vllm::packed_silu_kernel<__nv_bfloat162>, (bool)1, (bool)1, (bool)1, (bool)1>(T1 *, const T1 *, int, float, float, float)"
0.1,46785888,688,68002.7,49712.0,11136,164384,60095.0,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)1>, unsigned int, (int)1, (int)128, (int)1, (int)16, (int)16>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.1,44048768,22016,2000.8,2016.0,1696,4192,197.0,_rcp_approx_kernel
0.1,43383071,22016,1970.5,2048.0,1632,3488,249.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::nan_to_num_kernel_cuda(at::TensorIteratorBase &, std::optional<double>, std::optional<double>, std::optional<double>)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,41679008,22048,1890.4,1984.0,1248,3584,234.8,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,40230048,708,56822.1,10464.0,1248,314688,57258.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<unsigned char>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.1,40146656,23132,1735.5,1760.0,704,2496,171.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<int, int, int, at::native::lshift_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int, int) (instance 1)]>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,39869472,22276,1789.8,1824.0,672,2880,254.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.1,35934721,9632,3730.8,3840.0,1920,4768,414.3,"void per_token_group_quant_8bit_packed_register_kernel<c10::BFloat16, c10::Float8_e4m3fn, (int)128, (int)4, (int)4>(const T1 *, void *, unsigned int *, int, int, int, int, int, long, float, float, float)"
0.1,35469846,4452,7967.2,8544.0,1376,35616,1764.8,"void vllm::topKPerRowPrefill<(int)512, (bool)0>(const float *, const int *, const int *, int *, int, int, int, int)"
0.1,31306816,4240,7383.7,8512.0,1088,9824,2035.9,kernel_cutlass_kernel_vllmmodelsdeepseek_v4nvidiaopssparse_attn_compress_cutedslSparseAttnNormRopeStoreKernel_object_at__tensorptrf32gmemo5125121_tensorptri64gmemalign64o1_tensorptri64gme_0
0.1,30476512,14664,2078.3,2368.0,512,3616,534.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.1,27978720,216,129531.1,59984.0,11872,1131904,202841.2,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.1,26841982,1660,16169.9,13472.0,7808,43488,5930.5,"void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, (unsigned int)128, (unsigned int)128, (unsigned int)0, (unsigned int)8192, (unsigned int)1024, (unsigned int)128, (unsigned int)224, (unsigned int)128, (unsigned int)1, (unsigned int)128, (unsigned int)128, (unsigned int)64, (unsigned int)6, (unsigned int)128, (unsigned int)128, (unsigned int)2, (bool)0, (unsigned int)152, (bool)0, (deep_gemm::GemmType)0, (bool)0, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0.0,17656020,1720,10265.1,9056.0,8544,16320,2473.9,"void deep_gemm::sm100_tf32_hc_prenorm_gemm_impl<(unsigned int)24, (unsigned int)16384, (unsigned int)64, (unsigned int)32, (unsigned int)64, (unsigned int)9, (unsigned int)128, (unsigned int)12, (unsigned int)128, (unsigned int)128>(unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, float *)"
